Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
469,04-Jul-01,"1,500,000,000","2,402,100,000","902,100,000","1,500,000,000","1,473,850,685","26,149,315",03-Oct-01,91,,,4.412,98.257,6.992,,3.558,"2,668",
470,11-Jul-01,"2,000,000,000","6,763,900,000","4,763,900,000","2,000,000,000","1,966,357,750","33,642,250",10-Oct-01,91,,,6,98.318,6.747,,,"2,772",
471,18-Jul-01,"2,000,000,000","3,562,000,000","1,562,000,000","2,000,000,000","1,964,154,360","35,845,640",17-Oct-01,91,,,6.746,98.208,7.189,,3.66,"2,589",
472,25-Jul-01,"3,000,000,000","3,034,500,000","34,500,000","3,000,000,000","2,920,291,115","79,708,885",24-Oct-01,91,,,7.019,97.343,10.657,,5.474,"1,681",
,,,,,,,,,,,,,,,,,,
,Total July 2001,"8,500,000,000","15,762,500,000","7,262,500,000","8,500,000,000","8,324,653,910","175,346,090",,,,,,98.031,7.896,,4.231,"2,339",
,,,,,,,,,,,,,,,,,,
473,01-Aug-01,"3,000,000,000","3,000,000,000", -   ,"3,000,000,000","2,899,532,650","100,467,350",31-Oct-01,91,,,9.001,96.651,13.432,,6.949,"1,292",
474,08-Aug-01,"3,000,000,000","4,969,200,000","1,969,200,000","3,000,000,000","2,895,219,779","104,780,221",07-Nov-01,91,,,12.001,96.507,14.009,,7.258,"1,231",
475,15-Aug-01,"3,000,000,000","8,552,600,000","5,552,600,000","3,000,000,000","2,897,370,000","102,630,000",14-Nov-01,91,,,10.998,96.579,13.722,,7.104,"1,261",
476,22-Aug-01,"3,000,000,000","6,090,200,000","3,090,200,000","3,000,000,000","2,897,927,590","102,072,410",21-Nov-01,91,,,12.234,96.598,13.647,,7.064,"1,269",
477,29-Aug-01,"2,000,000,000","4,022,300,000","2,022,300,000","2,000,000,000","1,933,101,900","66,898,100",28-Nov-01,91,,,12.001,96.655,13.416,,6.94,"1,294",
,,,,,,,,,,,,,,,,,,
,Total Aug 2001,"14,000,000,000","26,634,300,000","12,634,300,000","14,000,000,000","13,523,151,919","476,848,081",,,,,,96.598,13.645,,7.063,"1,269",
,,,,,,,,,,,,,,,,,,
478,05-Sep-01,"3,000,000,000","3,000,000,000", -   ,"3,000,000,000","2,902,667,373","97,332,627",05-Dec-01,91,,,14,96.756,13.013,,6.725,"1,341",
479,12-Sep-01,"3,000,000,000","7,713,300,000","4,713,300,000","2,999,900,000","2,910,595,503","89,304,497",12-Dec-01,91,,,13,97.023,11.94,,6.153,"1,479",
480,19-Sep-01,"3,000,000,000","6,345,200,000","3,345,200,000","3,000,000,000","2,914,052,620","85,947,380",19-Dec-01,91,,,10.629,97.135,11.491,,5.915,"1,545",
481,26-Sep-01,"2,000,000,000","3,299,500,000","1,299,500,000","2,000,000,000","1,941,382,978","58,617,022",26-Dec-01,91,,,10.83,97.069,11.756,,6.055,"1,505",
,,,,,,,,,,,,,,,,,,
,Total Sep 2001,"11,000,000,000","20,358,000,000","9,358,000,000","10,999,900,000","10,668,698,474","331,201,526",,,,,,96.996,12.05,,6.212,"1,464",
,,,,,,,,,,,,,,,,,,
482,03-Oct-01,"2,000,000,000","7,976,800,000","5,976,800,000","1,999,900,000","1,944,815,051","55,084,949",02-Jan-02,91,,,10.593,97.246,11.048,,5.68,"1,615",
483,10-Oct-01,"2,000,000,000","10,082,200,000","8,082,200,000","2,000,000,000","1,950,843,886","49,156,114",10-Jan-02,91,,,9.654,97.542,9.858,,5.053,"1,834",
484,17-Oct-01,"2,000,000,000","9,931,100,000","7,931,100,000","2,000,000,000","1,960,323,996","39,676,004",17-Jan-02,91,,,6.999,98.016,7.957,,4.059,"2,320",
485,24-Oct-01,"2,000,000,000","2,919,200,000","919,200,000","2,000,000,000","1,958,434,024","41,565,976",24-Jan-02,91,,,7.845,97.922,8.336,,4.256,"2,205",
