Auction No ,Issue date, Amount offered in Auction ,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor, Weighted Average Price ,Average Discount Factor, Money Market yield , Annualised  ,Bid-to-cover
469,04-Jul-01,"1,500,000,000","2,402,100,000","902,100,000","1,500,000,000","1,473,850,685","26,149,315",03-Oct-01,91,0,0,4,98.257,6.992,,7.116,1.601
470,11-Jul-01,"2,000,000,000","6,763,900,000","4,763,900,000","2,000,000,000","1,966,357,750","33,642,250",10-Oct-01,91,0,0,6,98.318,6.747,,6.862,3.382
471,18-Jul-01,"2,000,000,000","3,562,000,000","1,562,000,000","2,000,000,000","1,964,154,360","35,845,640",17-Oct-01,91,0,0,6.746,98.208,7.189,,7.32,1.781
472,25-Jul-01,"3,000,000,000","3,034,500,000","34,500,000","3,000,000,000","2,920,291,115","79,708,885",24-Oct-01,91,0,0,7.019,97.343,10.657,,10.948,1.012
473,01-Aug-01,"3,000,000,000","3,000,000,000", -   ,"3,000,000,000","2,899,532,650","100,467,350",31-Oct-01,91,0,0,9.001,96.651,13.432,,13.898,1
,,,,,"11,500,000,000",,,,,,,,,,,, -   
474,08-Aug-01,"3,000,000,000","4,969,200,000","1,969,200,000","3,000,000,000","2,895,219,779","104,780,221",07-Nov-01,91,0,0,12.001,96.507,14.009,,14.516,1.656
475,15-Aug-01,"3,000,000,000","8,552,600,000","5,552,600,000","3,000,000,000","2,897,370,000","102,630,000",14-Nov-01,91,0,0,10.998,96.579,13.722,,14.208,2.851
476,22-Aug-01,"3,000,000,000","6,090,200,000","3,090,200,000","3,000,000,000","2,897,927,590","102,072,410",21-Nov-01,91,0,0,12.234,96.598,13.647,,14.128,2.03
477,29-Aug-01,"2,000,000,000","4,022,300,000","2,022,300,000","2,000,000,000","1,933,101,900","66,898,100",28-Nov-01,91,0,0,12.001,96.655,13.416,,13.881,2.011
,,,,,"11,000,000,000",,,,,,,,,,,, -   
478,05-Sep-01,"3,000,000,000","3,000,000,000", -   ,"3,000,000,000","2,902,667,373","97,332,627",05-Dec-01,91,0,0,10.489,96.756,13.013,,13.45,1
479,12-Sep-01,"3,000,000,000","7,713,300,000","4,713,300,000","2,999,900,000","2,910,595,503","89,304,497",12-Dec-01,91,0,0,10.629,97.023,11.94,,12.307,2.571
480,19-Sep-01,"3,000,000,000","6,345,200,000","3,345,200,000","3,000,000,000","2,914,052,620","85,947,380",19-Dec-01,91,0,0,10.629,97.135,11.491,,11.83,2.115
481,26-Sep-01,"2,000,000,000","3,299,500,000","1,299,500,000","2,000,000,000","1,941,382,978","58,617,022",26-Dec-01,91,0,0,10.83,97.069,11.756,,12.111,1.65
,,,,,"10,999,900,000",,,,,,,,,,,, -   
482,03-Oct-01,"2,000,000,000","7,976,800,000","5,976,800,000","1,999,900,000","1,944,815,051","55,084,949",02-Jan-02,91,0,0,10.593,97.246,11.048,,11.361,3.989
483,10-Oct-01,"2,000,000,000","10,082,200,000","8,082,200,000","2,000,000,000","1,950,843,886","49,156,114",09-Jan-02,91,0,0,9.654,97.542,9.858,,10.107,5.041
484,17-Oct-01,"2,000,000,000","9,931,100,000","7,931,100,000","2,000,000,000","1,960,323,996","39,676,004",16-Jan-02,91,0,0,6.999,98.016,7.957,,8.118,4.966
485,24-Oct-01,"2,000,000,000","2,919,200,000","919,200,000","2,000,000,000","1,958,434,024","41,565,976",23-Jan-02,91,0,0,7.845,97.922,8.336,,8.513,1.46
486,31-Oct-01,"2,000,000,000","5,359,000,000","3,359,000,000","1,999,900,000","1,961,387,440","38,512,560",30-Jan-02,91,0,0,7.364,98.074,7.724,,7.876,2.68
,,,,,"9,999,800,000",,,,,,,,,,,, -   
487,07-Nov-01,"2,000,000,000","4,897,400,000","2,897,400,000","1,999,900,000","1,963,564,342","36,335,658",06-Feb-02,91,0,0,6.783,98.183,7.287,,7.422,2.449
488,14-Nov-01,"2,000,000,000","7,030,600,000","5,030,600,000","1,999,900,000","1,965,227,616","34,672,384",13-Feb-02,91,0,0,6.502,98.266,6.954,,7.077,3.515
489,21-Nov-01,"3,000,000,000","9,919,200,000","6,919,200,000","3,000,000,000","2,950,319,502","49,680,498",20-Feb-02,91,0,0,6.618,98.344,6.642,,6.754,3.306
490,28-Nov-01,"3,000,000,000","5,436,600,000","2,436,600,000","3,000,000,000","2,950,756,509","49,243,491",27-Feb-02,91,0,0,6.105,98.359,6.584,,6.694,1.812
,,,,,"9,999,800,000",,,,,,,,,,,, -   
491,05-Dec-01,"3,000,000,000","9,665,700,000","6,665,700,000","3,000,000,000","2,953,689,106","46,310,894",06-Mar-02,91,0,0,6.016,98.456,6.192,,6.289,3.222
492,12-Dec-01,"3,000,000,000","7,214,300,000","4,214,300,000","2,999,900,000","2,958,084,326","41,815,674",13-Mar-02,91,0,0,5.002,98.606,5.591,,5.67,2.405
493,19-Dec-01,"3,000,000,000","4,718,200,000","1,718,200,000","3,000,000,000","2,958,123,874","41,876,126",20-Mar-02,91,0,0,5.435,98.604,5.599,,5.678,1.573
494,27-Dec-01,"2,000,000,000","4,074,800,000","2,074,800,000","2,000,000,000","1,972,695,240","27,304,760",28-Mar-02,91,0,0,5.182,98.635,5.476,,5.552,2.037
,,,,,"10,999,900,000",,,,,,,,,,,, -   
495,02-Jan-02,"2,000,000,000","4,934,300,000","2,934,300,000","1,999,900,000","1,973,409,985","26,490,015",03-Apr-02,91,0,0,5.182,98.675,5.313,,5.384,2.467
496,09-Jan-02,"2,000,000,000","5,847,900,000","3,847,900,000","1,999,900,000","1,974,518,140","25,381,860",10-Apr-02,91,0,0,5.014,98.731,5.091,,5.156,2.924
497,16-Jan-02,"3,000,000,000","10,229,700,000","7,229,700,000","3,000,000,000","2,962,476,556","37,523,444",17-Apr-02,91,0,0,4.986,98.749,5.017,,5.08,3.41
498,23-Jan-02,"2,000,000,000","9,376,400,000","7,376,400,000","1,999,900,000","1,975,883,936","24,016,064",24-Apr-02,91,0,0,4.793,98.799,4.817,,4.875,4.688
499,30-Jan-02,"2,000,000,000","7,293,700,000","5,293,700,000","1,999,900,000","1,978,694,871","21,205,129",01-May-02,91,0,0,4.208,98.94,4.253,,4.298,3.647
,,,,,"10,999,600,000",,,,,,,,,,,, -   
500,06-Feb-02,"1,000,000,000","2,415,300,000","1,415,300,000","1,000,000,000","990,709,511","9,290,489",08-May-02,91,0,0,3.47,99.071,3.726,,3.761,2.415
501,13-Feb-02,"2,000,000,000","5,488,800,000","3,488,800,000","2,000,000,000","1,981,973,224","18,026,776",17-May-02,91,0,0,3.449,99.099,3.615,,3.648,2.744
